;phoneId;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;SDNN;NN50;PNN50;receptivity
25;5a2b02b7b07e944d86d41969;{'lat': 48.14693584180144, 'long': 11.576300531200104};1.0;2177.0981764928197;13.140636810279668;74.99886621315193;0.7816863673469381;30.587154195011337;99.54401211857889;11.568607419662243;2.03429898036312;0.07254364237123438;0.0811289406163077;122.37632381705554;18.35444274602649;2.6909227186878217;0.09152171613734568;0.09702761727109019;0.05116134423841804;0.09149579686445167;0;0.0;1.0
26;5a2b02b7b07e944d86d41969;{'lat': 48.146981472069804, 'long': 11.576204462138191};1.0;6922.269718058529;71.68981084939331;90.25695931477516;0.559304950749464;31.53751070663812;1625.970174695499;92.38811700727686;6.134970126874808;0.2035281193366011;0.1601545584600776;2102.789128491464;262.68772342245893;7.163058369927222;0.2486168529257188;0.17977955433045828;0.1128123583233575;0.24855036427888505;0;0.0;1.0
27;5a2b02b7b07e944d86d41969;{'lat': 48.14696474562032, 'long': 11.576239533718775};1.0;6391.5631293990255;19.866792997653857;82.39523551705469;0.7133392181916614;28.760281537628583;941.3308074561958;20.600787357950914;2.8169668310073637;0.03833308020703463;0.2905732851147443;1143.42790402127;65.48733892526205;3.6182603932443467;0.04911079397643903;0.35179608308494176;0.022331875459089018;0.04909751072098898;0;0.0;1.0
28;5a2b02b7b07e944d86d41969;{'lat': 48.14929255020469, 'long': 11.562000429854624};1.0;5060.834022633745;60.17554526748971;76.78086419753086;0.7428299851851844;30.61569135802469;338.3287416171316;58.65402229080934;2.9757087334247827;0.08775976896204851;0.09076316110349088;419.40655063543454;94.61231306051978;3.7873694377024605;0.11372029942080712;0.10617827864245116;0.06173016441510856;0.11368523023283779;0;0.0;-1.0
29;5a2b02b7b07e944d86d41969;{'lat': 48.14710719615206, 'long': 11.576144311884129};1.0;4223.091414453366;15.933539221741801;75.47436689314391;0.7625043705991345;30.667510809141444;128.54103891367222;13.177425156257096;2.0732728741195214;0.08827247511770553;0.20966483935935223;166.9833946498549;24.012920062457933;2.6328351460160446;0.11787575906022095;0.25311076807443145;0.0729490877608137;0.1178393859511354;0;0.0;-1.0
30;5a2b02b7b07e944d86d41969;{'lat': 48.149228984530545, 'long': 11.561909978507709};2.0;33788.79851591486;5858.196367896895;77.45518453427066;0.6118919648506144;29.525289982425306;24871.312078697287;7008.601276867814;2.505809326427005;0.20150854112756017;0.06573021457185906;33701.44926957591;11810.029114666237;3.1614732361330042;0.2465000619348004;0.08256913497681949;0.13022640755988107;0.2464279208258629;0;0.0;1.0
31;5a2b02b7b07e944d86d41969;{'lat': 48.147039770609766, 'long': 11.576197983546733};2.0;4525.410109472743;161.7499218051832;77.4524128686327;0.659109415549597;28.14651474530831;1000.002986002798;243.07099039680202;4.487803585161973;0.12623754915222557;0.16392402015395757;3248.898157632227;886.6486062095382;5.217189081673407;0.16044349627076956;0.19589427039804932;0.0844601615324502;0.1603897730806061;0;0.0;1.0
32;5a2b02b7b07e944d86d41969;{'lat': 48.14929150047342, 'long': 11.56191034983247};1.0;2607.849164118247;8.98343527013251;74.90336391437309;0.7700819082568799;29.54047706422018;96.95810563395649;7.5569597271709945;3.6064117311487065;0.08006129944168573;0.29860588614875194;119.8260512795959;11.853266880067993;4.433565881433681;0.10212032303490282;0.3377273275745408;0.05417986316635242;0.1020891200216293;0;0.0;1.0
33;5a2b02b7b07e944d86d41969;{'lat': 48.14926971020779, 'long': 11.562090323943165};1.0;5224.111739799846;75.06526173979984;74.99884526558891;0.7534990484988446;30.927909930715934;763.0815069150724;73.54121410678314;3.0797046760076596;0.10471060057923405;0.06307550042935878;887.1935529777335;115.55329273535625;3.632766799825289;0.13516284166743597;0.07120581453643009;0.07019040020941596;0.13512385574564778;0;0.0;1.0
34;5a2b02b7b07e944d86d41969;{'lat': 48.14910631813721, 'long': 11.575943446333403};2.0;1675.2788732394367;18.117996870109543;75.90349504434012;0.6418775753781943;29.477944705268644;163.07181016896024;17.46652445828976;5.638232338446143;0.19715789601481845;0.1368990192628945;202.49505630268965;29.661394879636777;6.430337583030481;0.2509379725963892;0.1556911021192328;0.1327261911379354;0.2508725787951707;0;0.0;-1.0
