;phoneId;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;SDNN;NN50;PNN50;receptivity
4;5a29bf65b07e944d86d377c7;{u'lat': 48.1492385946, u'long': 11.5619096771};1.0;280451.785876;6426.92485876;88.0;0.713456;-1.0;4365.27059274;3643.55750263;0.0;0.0466825762712;0.0;5699.73946009;4366.81902426;0.0;0.0605331664872;0.0;0.0281640926937;0.0600184898667;0;0;-1.0
5;5a29bf65b07e944d86d377c7;{u'lat': 48.1492269361, u'long': 11.5619423778};1.0;280045.727273;3191.89090909;87.0;0.688568;-1.0;6238.69586777;2901.71900826;0.0;0.0701389090909;0.0;7271.34492035;3326.95453859;0.0;0.0759046760991;0.0;0.0678603144582;0.0741611932368;0;0;1.0
6;5a29bf65b07e944d86d377c7;{u'lat': 48.1491455167, u'long': 11.561899557};1.0;282075.086154;7513.52923077;78.9692307692;0.658574769231;24.1;5670.32927811;3902.00889941;1.54556213018;0.224905050888;2.13162820728e-14;7200.92595799;4784.0244931;1.811156664;0.264513037203;2.14821700383e-14;0.168025346078;0.262472453946;0;0;-1.0
9;5a29bf65b07e944d86d377c7;{u'lat': 48.149212831, u'long': 11.5619293066};1.0;283394.326577;7164.0536036;88.0;0.629150702703;24.12;4565.12568785;4192.89485026;0.0;0.268489829072;4.61852778244e-14;5346.30485585;5526.82953993;0.0;0.29319867205;4.65005393533e-14;0.105713036838;0.291212829184;0;0;-1.0
12;5a29bf65b07e944d86d377c7;{u'lat': 48.1491553266, u'long': 11.5619022289};1.0;281997.130137;6956.25616438;79.0;0.65822509589;-1.0;4792.19628448;3983.25745919;0.0;0.169182979171;0.0;5854.26538291;4765.29109076;0.0;0.207898171867;0.0;0.137312352325;0.206470715708;0;0;-1.0
