;phoneId;location;heartRates;gsr;rrInterval;motionType;skinTemperature;mean(GSR);mean(HR);mean(RR);mean(skinTemp);mad(GSR);mad(HR);mad(RR);mad(skinTemp);std(GSR);std(HR);std(RR);std(skinTemp);receptivity
54000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.251461988304;-0.0598542536641;0.313492063492;1.0;-0.876923076923;2315.88888889;68.1111111111;0.902420444444;31.72;7.67901234568;1.23456790123;0.0487518024691;1.42108547152e-14;8.50528478542;1.32349310045;0.0608003523966;1.46228488639e-14;-1.0
57000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};-0.157894736842;-0.0492869218432;0.0672268907563;1.0;-0.876923076923;2323.05882353;69.0;0.845216;31.72;2.65051903114;0.0;0.0281317647059;1.42108547152e-14;3.17156483923;0.0;0.0301811331795;1.46482137553e-14;-1.0
60000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.0650154798762;-0.0186830811912;0.121848739496;1.0;-0.699547511312;2343.82352941;71.1176470588;0.857904;31.7776470588;4.93425605536;3.23875432526;0.0367435294118;0.0203460207612;5.75798678053;3.93513584488;0.0546418374508;0.0275066836798;-1.0
63000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.670175438596;-0.028936379268;-0.047619047619;1.0;-0.661538461538;2336.86666667;76.8666666667;0.818538666667;31.79;6.42666666667;0.693333333333;0.0678428444444;7.1054273576e-15;7.50111102882;0.833809387833;0.084292461248;7.35481605583e-15;-1.0
66000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.529085872576;-0.0437109723461;-0.229323308271;1.0;-0.661538461538;2326.84210526;75.5263157895;0.776330947368;31.79;13.1523545706;0.498614958449;0.1193153241;0.0;15.3270391353;0.512989176043;0.136326047341;0.0;-1.0
69000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.459649122807;-0.036109064112;-0.0761904761905;1.0;-0.661538461538;2332.0;74.8666666667;0.811901866667;31.79;6.93333333333;0.231111111111;0.0631233422222;7.1054273576e-15;7.45462464323;0.351865775274;0.0740602083692;7.35481605583e-15;-1.0
72000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.356037151703;-0.0343751354632;-0.0966386554622;1.0;-0.661538461538;2333.17647059;73.8823529412;0.807152;31.79;5.81314878893;0.207612456747;0.0654494117647;3.5527136788e-15;6.85779933832;0.332105582078;0.0737227335359;3.66205343882e-15;-1.0
75000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.204678362573;-0.0548595758618;0.0357142857143;1.0;-0.661538461538;2319.27777778;72.4444444444;0.837896;31.79;7.02469135802;0.493827160494;0.106004444444;3.5527136788e-15;8.9627041321;0.511309992565;0.130055433351;3.65571221598e-15;-1.0
78000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.263157894737;-0.0436420207975;-0.047619047619;1.0;-0.661538461538;2326.88888889;73.0;0.818538666667;31.79;10.7901234568;0.0;0.0540776296296;3.5527136788e-15;12.1939661496;0.0;0.0682921085924;3.65571221598e-15;-1.0
81000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1490973698, u'long': 11.5759345058};0.233082706767;-0.0515843773029;-0.448979591837;1.0;-0.661538461538;2321.5;72.7142857143;0.725307428571;31.79;6.07142857143;0.408163265306;0.0375859591837;3.5527136788e-15;8.4284317366;0.468807230938;0.0480126335902;3.68682522138e-15;-1.0
