;phoneId;date;measurementId;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;receptivity
127;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;750.8230291005291;0.3479232804232955;63.86666666666667;0.9604002666666659;30.39999999999998;3.7038580246913813;0.22281481481481333;1.6933333333333331;0.04354478222222221;0.023999999999996646;4.25222137880497;0.2839270303341465;2.112905065565407;0.05308382035399023;0.02491364395612234;0.05496471067499768;1.0
128;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;751.24255026455;0.3449894179894272;63.7;0.9601237333333327;30.398333333333316;3.6499562610229837;0.2198014109347438;1.8933333333333329;0.04328668444444443;0.023222222222218036;4.245492053119511;0.2811220800054186;2.3657032197927816;0.05282612857089285;0.024506625892678397;0.04912812856476277;1.0
129;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;751.691238095238;0.33392063492064683;63.46666666666667;0.9573583999999993;30.39666666666665;3.556546031746067;0.23934708994708798;2.0711111111111107;0.04070570666666666;0.022222222222217407;4.211952851475325;0.29757956213166364;2.56949388996641;0.04937387915976176;0.02397316507426955;0.04778122506476423;1.0
130;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;752.1803492063492;0.3785873015873108;63.233333333333334;0.9590175999999992;30.394999999999985;3.5027470899471003;0.2862412698412648;2.2177777777777776;0.04026325333333332;0.020999999999994756;4.239064498550199;0.3737458865295505;2.737773237295334;0.04922946855751309;0.023304579984970285;0.04738220993667093;1.0
131;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;752.7418214285714;0.42311507936509163;63.0;0.9554226666666659;30.39333333333332;3.4237904761904967;0.30034126984126636;2.4;0.041664355555555525;0.019555555555550087;4.2490517175973945;0.37273714282357934;2.9594966953276316;0.05039592885947426;0.0224888222554405;0.049465121148207974;1.0
132;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;753.3392103174604;0.4260595238095296;62.766666666666666;0.9529338666666659;30.391666666666655;3.3255904761904844;0.28013730158728567;2.551111111111111;0.04369226666666663;0.017888888888883396;4.245627446291277;0.3273789346855093;3.1478874507038603;0.05186496878183023;0.021509153357604123;0.04790523571990128;1.0
133;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;753.9695066137566;0.4253187830687883;62.56666666666667;0.9556991999999993;30.38999999999999;3.2007776014109557;0.2705755731922275;2.7377777777777785;0.043581653333333276;0.015999999999994685;4.202859731647262;0.32756693403382475;3.380301285626652;0.05184971393024525;0.020341905108624603;0.05043907774595071;1.0
134;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;754.5680436507936;0.4112261904761908;62.2;0.959570666666666;30.388333333333325;3.2537510582010594;0.25732619047618155;2.693333333333334;0.047195022222222195;0.013888888888883955;4.172765753083604;0.3349516328113764;3.3671844372535866;0.05765502185582279;0.018952451089472855;0.053631637147978355;1.0
135;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;755.1282103174602;0.378281746031746;61.8;0.9656543999999994;30.38666666666666;3.3229317460317285;0.25571137566136787;2.6400000000000006;0.04955477333333335;0.011555555555551204;4.147844540378448;0.3186296733177124;3.241966197785875;0.06198976529184425;0.017287295182088266;0.052829123504056906;1.0
136;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;755.6336084656085;0.3426058201058254;61.733333333333334;0.9717381333333327;30.384999999999994;3.4124650793650857;0.24085273368606597;2.5866666666666664;0.050181582222222215;0.008999999999996433;4.162714572242666;0.2919120975749947;3.1724387805112904;0.06384309061513202;0.01525642883146845;0.05282912350405692;1.0
137;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;756.1175714285714;0.3423095238095281;61.666666666666664;0.9794810666666661;30.38333333333333;3.4833825396825318;0.24398571428571356;2.533333333333334;0.048153671111111226;0.006222222222219642;4.153672327689042;0.3162025618646968;3.0775419359963383;0.06215544206369498;0.012685406585123302;0.051371487124467374;1.0
138;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;756.5772936507935;0.3581428571428622;61.63333333333333;0.9833525333333327;30.381666666666664;3.5979984126983786;0.2529857142857085;2.506666666666668;0.044540302222222355;0.003222222222220831;4.218450059167031;0.32233377768221266;3.034097415449409;0.0581223807731604;0.009128709291752898;0.05318729115506635;1.0
139;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;757.0241547619049;0.32750396825397654;61.63333333333333;0.9850117333333327;30.38;3.6460095238095542;0.21105185185185546;2.506666666666668;0.042991715555555685;0.0;4.176139803335154;0.2374304728108047;3.034097415449409;0.057225330055198906;0.0;0.05090741720634328;1.0
140;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;757.4712380952382;0.34225396825397636;61.666666666666664;0.9833525333333328;30.377999999999997;3.772038095238103;0.2267851851851886;2.5333333333333354;0.043729137777777954;0.0038666666666689053;4.255003355509747;0.27288156979739553;3.077541935996338;0.05763031902939546;0.010954451150103083;0.05090741720634328;1.0
141;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;757.8957936507938;0.3656984126984147;61.7;0.9833525333333328;30.375999999999998;3.7780899470899727;0.23379259259258311;2.5599999999999996;0.04372913777777796;0.0074666666666677395;4.190438408702894;0.298262895908919;3.1200132625712804;0.05763031902939546;0.015222487902147426;0.05118636404625619;1.0
142;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;758.3067936507938;0.37247619047619007;61.833333333333336;0.9827994666666661;30.374;3.762548148148153;0.24452063492062712;2.666666666666664;0.044208462222222376;0.010800000000000054;4.112958596193448;0.31279115203786817;3.2172309075731076;0.058081534849419934;0.018307714597761496;0.05043907774595086;1.0
143;5a2b02b7b07e944d86d41969;2017-12-09;0;1;1.0;758.683191798942;0.37987433862433967;61.96666666666667;0.9827994666666661;30.372;3.7237526455026377;0.2271358024691375;2.773333333333333;0.04420846222222237;0.01386666666666585;4.046796710492207;0.29815853350073374;3.3060376672795595;0.05808153484941992;0.020744754218505183;0.05034488704238348;1.0
