;phoneId;date;measurementId;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;receptivity
83;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;7064.078685185184;212.9381296296296;71.0;0.8486807999999991;34.220000000000006;1343.2334728395062;208.5301086419754;2.4;0.051822346666666415;0.013333333333328312;1638.1643188113646;326.1164821898863;2.5697175478760443;0.071833905227987;0.014383899044558664;0.09352924096994353;-1.0
84;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;7248.01488888889;207.80440740740738;70.83333333333333;0.8434266666666659;34.219;1438.0077259259265;204.93753827160506;2.3888888888888875;0.0567815111111109;0.013933333333329993;1752.3299527855613;325.69211517584637;2.597523134984866;0.08097183627075183;0.014703975535603904;0.09629227557232467;-1.0
85;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;7426.284740740741;207.51029629629622;70.7;0.8417674666666658;34.217999999999996;1517.6417802469136;201.81606419753103;2.3333333333333344;0.058366968888888676;0.014399999999997703;1838.0520259017928;324.4870793532359;2.5851032127730718;0.08142194848875647;0.014948186373670224;0.10059545109068252;-1.0
86;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;7599.675055555556;206.67572222222213;70.53333333333333;0.8445327999999994;34.217;1578.0377333333336;202.26117037037054;2.2133333333333325;0.059952426666666433;0.014733333333330496;1891.6523830759784;325.0677190661456;2.5255021123610706;0.08239739714938252;0.015120207989808919;0.10283532750286087;-1.0
87;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;7800.038657407407;246.9776574074074;70.36666666666666;0.8423205333333327;34.216;1680.9687067901236;222.362839506173;2.071111111111108;0.06220156444444422;0.014933333333330268;1980.0889856695535;334.4730971807995;2.4527722996688843;0.08323797475362446;0.015222487902144716;0.10574805428910262;-1.0
88;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;7952.402533068784;285.0937156084657;70.2;0.8481277333333328;34.215;1712.9762989417993;265.88830238095244;1.9066666666666683;0.066902631111111;0.014999999999997016;1970.7315790688442;381.42748750243186;2.365703219792781;0.08824642601376144;0.015256428831465196;0.11346701127762125;-1.0
89;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;8079.146362433863;320.4931402116402;70.0;0.847574666666666;34.214000000000006;1700.0737275132274;300.65633015873027;1.6666666666666667;0.06738195555555544;0.014933333333330742;1921.7178578872074;425.0586827536356;2.1932498324600886;0.088418374924943;0.01522248790214472;0.11838037064683797;-1.0
90;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;8191.740589947089;308.729566137566;69.86666666666666;0.8481277333333327;34.213;1664.7909093474423;284.7402206349205;1.5288888888888854;0.06690263111111107;0.014733333333330496;1866.0691957406705;410.6776749170992;2.125109868694555;0.08813878759716874;0.015120207989808915;0.11788818420742647;-1.0
91;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;8283.907694444444;317.38021825396817;69.7;0.8500634666666661;34.212;1600.0365962962962;267.12121957671957;1.3200000000000016;0.06909646222222214;0.014399999999997703;1800.7784793757114;392.3718621179908;1.9809436970884566;0.08891754851497323;0.014948186373670224;0.1193288264736823;-1.0
92;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;8376.384906084655;331.21619179894174;69.53333333333333;0.8544879999999994;34.211000000000006;1524.381220899471;262.4408562610228;1.0888888888888877;0.07023946666666657;0.013933333333331887;1735.113080610391;387.4996177377482;1.8096167118144553;0.08945683473666739;0.0147039755356039;0.11349838030866183;-1.0
93;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;8465.133378306877;331.29410846560836;69.41666666666667;0.8589125333333325;34.21000000000001;1433.5619679012345;259.06407460317456;0.9055555555555581;0.07079253333333323;0.01333333333333305;1663.4010028134783;385.2818279947234;1.6139656308209491;0.08976757228944203;0.014383899044558666;0.1124480303024314;-1.0
94;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;8563.607378306877;333.4412195767194;69.28333333333333;0.8553175999999992;34.20900000000001;1340.8069871252203;258.87305996472645;0.7011111111111101;0.0671975999999999;0.012600000000001188;1585.7524272744283;385.6166723867778;1.264115701091924;0.08619666659111978;0.01398274799097919;0.11203572475562078;-1.0
95;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;8661.92672089947;334.41796957671943;69.15;0.8575298666666659;34.208000000000006;1243.7679878306878;258.2218932980599;0.4966666666666697;0.06940986666666656;0.011733333333332988;1506.2494005298206;383.9217919643805;0.7445202111612458;0.08853639608647725;0.013493293353261425;0.11293240461993782;-1.0
96;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;8758.226943121694;334.56885846560846;69.21666666666667;0.8619543999999993;34.20700000000001;1148.3219802469134;258.1213007054672;0.5844444444444453;0.07278357333333323;0.01073333333333461;1423.5819040691406;384.28911719885303;0.8166725310603423;0.09122608788763624;0.01290549201455972;0.11293240461993782;-1.0
97;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;8851.701943121694;336.8351177248677;69.31666666666666;0.865825866666666;34.206;1059.8969059964732;256.6104611992944;0.7099999999999985;0.0763969422222221;0.009599999999998943;1331.6837058511287;385.1368484764917;0.9602741466797955;0.0951014896100505;0.01220514306517216;0.11272206283812736;-1.0
98;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;8952.044035714287;351.5327658730159;69.43333333333334;0.8630605333333325;34.205000000000005;979.7701849206354;254.05512248677235;0.8444444444444457;0.07715279999999991;0.008333333333334044;1233.987962817402;381.26635905414315;1.11983167864896;0.09540047589693089;0.01137147065368129;0.11534434074215064;-1.0
99;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;9043.719443121692;345.61978439153427;69.56666666666666;0.8564237333333327;34.204;915.1200619929456;259.409053791887;0.9933333333333318;0.0778349155555555;0.006933333333330912;1154.2190407345906;383.5156243859074;1.2914395425082907;0.09637070035739433;0.010372377109250748;0.11397829103401427;-1.0
100;5a310db8a808c47336b38d88;2017-12-19;0;1;1.0;9123.89773941799;312.8222288359788;69.66666666666667;0.8586359999999992;34.202000000000005;862.8544274250443;264.7139426807758;1.0888888888888906;0.07604666666666661;0.005600000000001396;1089.2663883289645;390.3944037903338;1.3603583030377246;0.09570514091910005;0.01095445115010186;0.11093944800345065;-1.0
