;phoneId;date;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;receptivity
0;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8960381167849674;-0.887229634863378;-0.16261983693217438;0.07337206551171196;0.13183964547322252;-0.8824458504891306;-0.7787595901149246;-0.9008432063187106;-0.6811014878969578;-0.9446913580247132;-0.8774350435238225;-0.6984877337838553;-0.8785484323645361;-0.6265285782286201;-0.944568038714471;-0.6246120680360459;-1.0
1;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8907002217546554;-0.8860277273342955;-0.16315742316996684;0.07494939404295603;0.13182888919962604;-0.8817648780008469;-0.7793543219353186;-0.8996691215711389;-0.6739951143681988;-0.9444444444444554;-0.8761821089435687;-0.6990885045396182;-0.8781408580883137;-0.6226865079072902;-0.9444444444444554;-0.6246120680360459;-1.0
2;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8849857796043579;-0.8861203931646799;-0.1636950094077591;0.07731538683982236;0.13181813292602934;-0.8818443259886972;-0.7793084687256003;-0.8991354466858789;-0.6769561033385146;-0.9446913580246921;-0.8746939189439066;-0.6991022129377132;-0.8779219586363931;-0.6226267859306966;-0.944568038714471;-0.6243058371772623;-1.0
3;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.877951073725012;-0.8811450711889093;-0.16333661858256426;0.07770971897263373;0.13180737665243286;-0.8811058314927114;-0.7766273194166053;-0.9011634112498664;-0.6753275594048413;-0.9454320987654179;-0.8700964211216482;-0.6996862099604148;-0.8786741152898563;-0.6222040255401254;-0.9449404861210534;-0.6251230087001847;-1.0
4;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8698553729785408;-0.8758448577152399;-0.16351581399516169;0.07731538683982252;0.13179662037883638;-0.8789134176214523;-0.7800510263304944;-0.8994556516170349;-0.6769561033385152;-0.946666666666633;-0.8626759793695397;-0.7015759928819479;-0.8773505020662588;-0.6226267859306966;-0.945566894604829;-0.6251230087001847;-1.0
5;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8603475274402412;-0.8760009637028292;-0.16441179105814882;0.07494939404295603;0.13178586410523968;-0.8740731587481662;-0.780350632820612;-0.8909168534528765;-0.6828780812791474;-0.9483950617283582;-0.850806694605523;-0.7017579208241486;-0.8683030500877852;-0.626287291616756;-0.946456176685933;-0.6256346467048141;-1.0
6;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8485851289458909;-0.8714068884708391;-0.1658453543589284;0.07455506191014513;0.13177510783164323;-0.8622380072431273;-0.7688253938102658;-0.8799231508165225;-0.6846546746613369;-0.9506172839505569;-0.8308210553705535;-0.6993340342034113;-0.8538090289017817;-0.6273894315920807;-0.947621719912118;-0.6239998557261166;-1.0
7;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8343182816780347;-0.8618204549695323;-0.16727891765970782;0.06587975498830174;0.13176435155804653;-0.8450013870396037;-0.7691900709425111;-0.8767211015049632;-0.6344659116144796;-0.9533333333332763;-0.8018215912245494;-0.7001808501809264;-0.8495573091804508;-0.5689861163048558;-0.9490824922782786;-0.5692599677816778;-1.0
8;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.8156061107156659;-0.8533900305618634;-0.16871248096048738;0.07140040484765668;0.13175359528445005;-0.8162871979163425;-0.7574774086313368;-0.8746931369409755;-0.6075209119846032;-0.9565432098764585;-0.7560433892250884;-0.6930076083817407;-0.8464788789112538;-0.5383548192635385;-0.9508648179206705;-0.4665281140423713;-1.0
9;5a2bf8c8b07e944d86d47ce7;2017-12-13;4;1.0;-0.7909675163715701;-0.8337603540236872;-0.17050443508646165;0.0729777333789009;0.13174283901085357;-0.7653137453039767;-0.7360255280299974;-0.871597822606468;-0.5998223406617811;-0.9602469135801298;-0.6862031779529519;-0.6736282465797524;-0.8393564405774879;-0.5350794914484884;-0.9530052683687148;-0.4596738044624348;-1.0
