;phoneId;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;LF;HF;LF/HF;receptivity
505;5a2fa237421a763ff2b33932;1;1.0;-0.9698338519573908;-0.9789920107304997;-0.19534066746787465;0.07707461216449155;0.06588881262868916;-0.9408990567488655;-0.9781783493004665;-0.8959484346224679;-0.46549405069839694;-0.9233333333333529;-0.9408882657868407;-0.9777856665138468;-0.8835356566103609;-0.3847173285785703;-0.9093673032824997;-0.30594438578255356;-0.9703119826152304;-0.846731648575526;-0.9999714028335263;-1.0
506;5a2fa237421a763ff2b33932;1;1.0;-0.9693370184668507;-0.9794796410463237;-0.19497087917167424;0.07485840925880319;0.06585268937615146;-0.9345380974604136;-0.9813169901960785;-0.8989410681399632;-0.4505949301603726;-0.931428571428599;-0.9280186375118582;-0.9810880409750974;-0.8897509582787718;-0.3774271367822044;-0.9142857142857107;-0.3235455569471975;-0.9669868942885314;-0.8615339697029563;-0.9999648004237693;-1.0
507;5a2fa237421a763ff2b33932;1;1.0;-0.9690579629403069;-0.9745679967703622;-0.19497087917167424;0.0719034720512189;0.06581656612361389;-0.9342952043110081;-0.9763702619131552;-0.8989410681399632;-0.44221417485773457;-0.9404761904762106;-0.92892930284431;-0.9741152953260966;-0.8897509582787718;-0.37605571307139646;-0.9201404293750042;-0.3224547939011274;-0.9297121324330536;-0.9466921285920308;-0.999805337041189;-1.0
508;5a2fa237421a763ff2b33932;1;1.0;-0.9689056670546444;-0.9734384408576592;-0.19534066746787465;0.06229992612656965;0.06578044287107632;-0.935545278755551;-0.9750598387735105;-0.8959484346224679;-0.4533885152612516;-0.950476190476201;-0.9320548726708886;-0.9742338987976746;-0.8865249750360045;-0.40068665981792456;-0.9271568640915288;-0.33012743239048964;-0.9597965656509527;-0.9192125952193552;-0.9999265293654278;-1.0
509;5a2fa237421a763ff2b33932;1;1.0;-0.9689618241893893;-0.975172874837134;-0.19571045576407506;0.058606254617089286;0.0657443196185386;-0.9402321634139366;-0.9775746139098574;-0.8929558011049724;-0.47201241593378157;-0.9614285714285903;-0.9358699983886197;-0.9766141944797687;-0.8834864844133676;-0.4330323226652329;-0.9357142857142831;-0.31379110428306456;-0.9670631104380698;-0.9711465685601418;-0.9998314691512853;-1.0
510;5a2fa237421a763ff2b33932;1;1.0;-0.9690748435895977;-0.9765203301221751;-0.19608024406027547;0.05602068456045288;0.06572023745018027;-0.9392922785103991;-0.9776173505274613;-0.8899631675874768;-0.485049146404552;-0.9700000000000031;-0.9350892856279241;-0.9767361850759353;-0.8806211690801922;-0.4439182310064666;-0.9456537513785056;-0.31262629106052064;-0.9950117972383744;-0.9519414156361402;-0.99998467616671;-1.0
511;5a2fa237421a763ff2b33932;1;1.0;-0.9691364437128911;-0.9792549195082723;-0.19645003235647587;0.05786752031519321;0.0656961552818218;-0.9374784051913474;-0.9773762691935345;-0.8869705340699815;-0.48256595964821475;-0.9785714285714362;-0.933494196828948;-0.9763603976937015;-0.877916835055564;-0.44268179915843103;-0.9584184542938714;-0.3134324897324727;-0.9825450137363957;-0.9320717992633957;-0.9999620629380198;-1.0
512;5a2fa237421a763ff2b33932;1;1.0;-0.9690564554514368;-0.9788805046607362;-0.19645003235647587;0.05786752031519321;0.06567207311346333;-0.939824059718709;-0.9777845935953378;-0.8869705340699815;-0.48256595964821475;-0.9871428571428692;-0.9356518604914896;-0.9766615238247556;-0.877916835055564;-0.44268179915843103;-0.9785714285714252;-0.31334286535897327;-0.8920327119522291;-0.9589296885917264;-0.9996118867309194;-1.0
513;5a2fa237421a763ff2b33932;1;1.0;-0.9689295533934101;-0.9781411181316958;-0.19645003235647587;0.05897562176803732;0.06568411419764257;-0.9430979594768142;-0.978652260080869;-0.8869705340699815;-0.477444386963269;-0.9834920634920721;-0.9386652870285925;-0.9773188407980663;-0.877916835055564;-0.44070551990601;-0.9757189546971734;-0.3286592167823111;-0.9334732553704388;-0.9230796452320347;-0.9998723122342315;-1.0
514;5a2fa237421a763ff2b33932;1;1.0;-0.9687760122315617;-0.977873146687506;-0.19645003235647587;0.06266929327751783;0.0656961552818218;-0.9470058122682729;-0.9791174540012255;-0.8869705340699815;-0.4603724780134504;-0.9801587301587356;-0.942011507285745;-0.9778177509917115;-0.877916835055564;-0.42705882137299406;-0.9733801431249983;-0.34227170454991057;-0.8639813165832614;-0.9310964235738064;-0.9997085586993993;-1.0
515;5a2fa237421a763ff2b33932;1;1.0;-0.9684515821763477;-0.9749558513988223;-0.19608024406027547;0.06340802757941391;0.06570819636600103;-0.9500489957800765;-0.9769586635753774;-0.886279926335175;-0.45695809622348654;-0.9771428571428596;-0.9452302879687658;-0.9743230806701885;-0.8777761591898684;-0.42061122036380355;-0.971428571428567;-0.34330167332901834;-0.9732518697671403;-0.8630323585411955;-0.9999711683335094;-1.0
516;5a2fa237421a763ff2b33932;1;1.0;-0.9680573091731046;-0.9733729158496923;-0.19534066746787465;0.06931790199458264;0.06572023745018027;-0.9456785007842426;-0.9764344592667521;-0.8895027624309392;-0.42964304190377645;-0.9744444444444444;-0.9437965085015019;-0.9754281404079441;-0.8806211690801922;-0.39474723058415234;-0.969789101094163;-0.3996985434537795;-0.9858685097920588;-0.8744471817482138;-0.9999833828786939;-1.0
517;5a2fa237421a763ff2b33932;1;1.0;-0.9677708334832468;-0.9711365511019301;-0.19497087917167424;0.07005663629647871;0.0657322785343595;-0.9447146573583783;-0.975118060761555;-0.8899631675874768;-0.43554061045007775;-0.97206349206349;-0.9438035730577041;-0.973681981973414;-0.8807652015045522;-0.39700556817102867;-0.9684130972347055;-0.42322439452167243;-0.9928040379371869;-0.9187926139042613;-0.9999869175938643;-1.0
518;5a2fa237421a763ff2b33932;1;1.0;-0.9672939923210863;-0.9677775586151028;-0.1942313025792733;0.06377739473036194;0.06574431961853887;-0.9363115418273812;-0.9729515696682186;-0.8878913443830572;-0.4645628556647698;-0.9699999999999862;-0.93583571643158;-0.9702934254758068;-0.878481167036832;-0.42993861850071813;-0.967267316464596;-0.4449727760009285;-0.9500988526922954;-0.8916937217829957;-0.9999319777187561;-1.0
