;phoneId;date;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;receptivity
3646;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5422595320029497;-0.9164845787093207;-0.1449820953080525;0.09799856470775864;0.025159108989658355;-0.9573490944521941;-0.917672286670104;-0.9031770045385777;-0.6060331075853232;-0.9470449172576023;-0.9549069292944511;-0.9174874632805383;-0.893510744974937;-0.468299274934317;-0.893853691155355;-0.4452734210764364;1.0
3647;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5409226202027042;-0.918506358238166;-0.14534937104030848;0.09999202615421422;0.025208830548926406;-0.9586035997398387;-0.9162384476452039;-0.9001512859304084;-0.6165977323309985;-0.9234042553190854;-0.956662228467448;-0.9170072366088186;-0.8916421176898622;-0.4702987824569567;-0.8723404255319217;-0.4452734210764364;1.0
3648;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5398987253100024;-0.9169503668358941;-0.14571664677256446;0.09839725699704975;0.02525855210819446;-0.959099766226864;-0.9173419513473412;-0.897125567322239;-0.6075041312840882;-0.9016548463356495;-0.9572533003096811;-0.917707528537836;-0.8881915300277267;-0.4676827648373753;-0.855346964153404;-0.44309694747331313;1.0
3649;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5387237003138671;-0.9163040100303957;-0.1460839225048204;0.09640379555059415;0.025308273667462515;-0.9590431093948335;-0.9178003453505008;-0.8940998487140696;-0.5961371299754502;-0.8817966903072947;-0.9572200336815652;-0.9180264843351429;-0.8848979393877923;-0.46413982584066454;-0.841413618617045;-0.4430290697166436;1.0
3650;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5380850740700451;-0.9113351469192661;-0.14681847396933237;0.09640379555059415;0.025357995226730566;-0.9603798100266413;-0.9201599878631822;-0.8880484114977307;-0.5961371299754502;-0.8638297872340209;-0.9580801302431502;-0.9192503319222992;-0.8772127309776341;-0.46413982584066454;-0.8297872340425626;-0.4407937258960928;1.0
3651;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5371037374933731;-0.909733174109274;-0.14755302543384446;0.09520771868272081;0.02540771678599862;-0.9614511296656875;-0.9205784794331008;-0.8819969742813916;-0.5910554117433532;-0.8477541371158281;-0.9586372752758469;-0.9200716480795563;-0.8701711476054139;-0.4635834272156914;-0.8200201767312224;-0.44126714243118426;1.0
3652;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5367022320825549;-0.909519057995994;-0.14865485263061237;0.09201818036839202;0.025457438345266887;-0.9632555050251869;-0.9218841266441911;-0.8729198184568835;-0.5927938942964391;-0.8335697399526882;-0.9594928077029303;-0.9204896627000145;-0.8626128465685876;-0.46433650278752453;-0.8118227069302003;-0.44147015807074597;1.0
3653;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5357726904066085;-0.9070054518777018;-0.15085850702414835;0.08723387289689842;0.02550715990453494;-0.9639717106187231;-0.9228832380879082;-0.8594721801983526;-0.6052307310223609;-0.8212765957446616;-0.9595738745813192;-0.9212514509623011;-0.8460751462455679;-0.4701531092967055;-0.8049967789380601;-0.4664633462650255;1.0
3654;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5345206018178197;-0.9091629891938944;-0.15306216141768433;0.07447571963958247;0.025556881463802993;-0.9654395837019114;-0.9241765187712214;-0.8473693057656748;-0.5927938942964398;-0.810874704491716;-0.9601595345132804;-0.9212395164367305;-0.8324715340348718;-0.447167901227778;-0.7994023315782955;-0.4439801123697211;1.0
3655;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5325815277121562;-0.9092066327243593;-0.15600036727573224;0.06490710469659546;0.025606603023071047;-0.9665045792159938;-0.9222271294433703;-0.8366111951588502;-0.6409364880742007;-0.8023640661938513;-0.9587683577445836;-0.9197132153162321;-0.8177787252752254;-0.528841204841196;-0.7949385490099267;-0.5640221683910163;1.0
3656;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5318997756846074;-0.9093862959096644;-0.1585712974015242;0.0565345666214818;0.025656324582339102;-0.9702060834742725;-0.9257145323422549;-0.8310640443772062;-0.6777120805433237;-0.7957446808510676;-0.9613751229455098;-0.9215834392521634;-0.8109088403959173;-0.6253040406738049;-0.7915327878482515;-0.5632424756698949;1.0
3657;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5328642488543799;-0.9025189944363364;-0.161142227527316;0.06650187385375993;0.025706046141607153;-0.9685232057457931;-0.9171910164309298;-0.8278702302908051;-0.6977714946173904;-0.7910165484633651;-0.9590390649030885;-0.9178885905238511;-0.8058324222242478;-0.6451381070652135;-0.7891337766337917;-0.575533137152298;1.0
3658;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5340325928078058;-0.9107770946718836;-0.16371315765310793;0.06889402758950665;0.025755767700875207;-0.9648426099254124;-0.9268923147554733;-0.8255168935955622;-0.7106095196247934;-0.7881796690307435;-0.9537093400002934;-0.9194702409746391;-0.802411190046147;-0.6657086323357707;-0.78770738231071;-0.5465949278807836;1.0
3659;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5338802182205905;-0.9261458122970063;-0.1662840877788999;0.06690056614305089;0.025805489260143262;-0.9654825417091004;-0.940739787067942;-0.8234997478567826;-0.6999111654519576;-0.7872340425532031;-0.9555522477293259;-0.9333152358502165;-0.8005599455489245;-0.6567929819977537;-0.7872340425532031;-0.5549258039674383;1.0
3660;5a3a70e3e627fc62bd42f053;2017-12-21;1;1.0;-0.5328688750722542;-0.9300668536508888;-0.16885501790469185;0.06849533530021536;0.025855210819411313;-0.9697299076029999;-0.9394975068862904;-0.8238359388132459;-0.6924223175309726;-0.7881796690307435;-0.962407527617254;-0.9252174498765687;-0.8002350362032747;-0.6539679016687298;-0.78770738231071;-0.5884659449680015;1.0
