;phoneId;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;LF;HF;LF/HF;receptivity
6230;5a2b02b7b07e944d86d41969;1;1.0;-0.9731232174771859;-0.9994872525262227;-0.2017955945297004;0.22884050880626233;0.12829831535112665;-0.9943361203938142;-0.9994186445170675;-0.5215343203230146;-0.49383899233296874;-0.6228571428571378;-0.9938303515069867;-0.9992986950877204;-0.4535069176902718;-0.4597954401571235;-0.6150801832769303;-0.5246766753383038;-0.9872633570405283;-0.999953984565107;-0.9942135334164242;-1.0
6231;5a2b02b7b07e944d86d41969;1;1.0;-0.9729797097571977;-0.9994317427523441;-0.20430107526881724;0.23250978473581232;0.1281595053315669;-0.9937322467067142;-0.9993632909778273;-0.5576491700314042;-0.5171139101861999;-0.6350793650793666;-0.9932081542725104;-0.9992374416052328;-0.47370112520890867;-0.47606279741739077;-0.6213686779933092;-0.520053144715335;-0.9001814343358936;-0.9752150312273795;-0.9999158052610535;-1.0
6232;5a2b02b7b07e944d86d41969;1;1.0;-0.9728274822759915;-0.9994287950066045;-0.20680655600793402;0.23324363992172215;0.1280206953120074;-0.9930238066163423;-0.9993697988596425;-0.5966801256168682;-0.5216319824753565;-0.6507936507936462;-0.9924760035410978;-0.9992840047061846;-0.4978106421821504;-0.47794343331834505;-0.6296107336641905;-0.5211871022483997;-0.9161358977255081;-0.9658287338881759;-0.9999486929508421;-1.0
6233;5a2b02b7b07e944d86d41969;1;1.0;-0.9726298298659521;-0.9992599803451522;-0.20993840693183002;0.21391878669275938;0.12788188529244776;-0.9919894124740668;-0.9990398633357687;-0.6496186630776128;-0.39918765972982895;-0.6699999999999969;-0.9912643082029019;-0.9982823550986537;-0.5396739470314555;-0.2534516509070939;-0.6399404811106134;-0.3654855004608764;-0.9649570227918086;-0.9797380084032323;-0.99996384395893;-1.0
6234;5a2b02b7b07e944d86d41969;1;1.0;-0.9723918685518167;-0.999006857792626;-0.21307025785572606;0.21685420743639927;0.12774307527288814;-0.9906657439903602;-0.9985592523468154;-0.7043517272319422;-0.403614457831326;-0.692698412698412;-0.9896227011343509;-0.99783136935785;-0.591696214024414;-0.2538850831113719;-0.6525440695818162;-0.21485450861022293;-0.9822783579297789;-0.9197552730047752;-0.9999953831106883;-1.0
6235;5a2b02b7b07e944d86d41969;1;1.0;-0.9721336312786217;-0.999055018877727;-0.21620210877962207;0.22272504892367917;0.12760426525332852;-0.9892442432141557;-0.9987811997433952;-0.764019739793629;-0.41461299744432345;-0.7188888888888915;-0.987924289325403;-0.9983232076026959;-0.6584888421929698;-0.2555978458210184;-0.6676801120358468;-0.21485450861022293;-0.9584999139686496;-0.9135727525797807;-0.9999899616965207;-1.0
6236;5a2b02b7b07e944d86d41969;1;1.0;-0.971949292512746;-0.9985247916852257;-0.21912516964192505;0.23373287671232884;0.12746545523376887;-0.9885373860970686;-0.9975902462872196;-0.8272768057424851;-0.44336436655713846;-0.7485714285714353;-0.9874890295613747;-0.9967079147229189;-0.7532140059804268;-0.26588688297715846;-0.6857142857142866;-0.21347102511197738;-0.9773532987979061;-0.9409680367282393;-0.9999919799010095;-1.0
6237;5a2b02b7b07e944d86d41969;1;1.0;-0.971826936593919;-0.9982360504398915;-0.2207954901346696;0.2425391389432486;0.12732664521420925;-0.988422908109577;-0.9969011054805581;-0.8640646029609688;-0.4683278568820745;-0.7817460317460436;-0.9877784064035909;-0.9961640694364011;-0.7931030732557164;-0.2738979536179118;-0.7071815743750283;-0.2136870339524198;-0.9433435470261194;-0.8782804891941598;-0.9999902691407876;-1.0
6238;5a2b02b7b07e944d86d41969;1;1.0;-0.9717401490302116;-0.9983673462250765;-0.22246581062741413;0.24547455968688864;0.12718783519464977;-0.9885831384064412;-0.9973135601374687;-0.9044414535666214;-0.49023366192040974;-0.8184126984126977;-0.9881097406580099;-0.9966205498591367;-0.8473000533527395;-0.28372956545713474;-0.7329085016689502;-0.20530619521408427;-0.852685900009678;-0.9012032250225573;-0.9999688280798981;-1.0
6239;5a2b02b7b07e944d86d41969;1;1.0;-0.9716140097441908;-0.9981391954306799;-0.22371855099697255;0.24437377690802367;0.12704902517509012;-0.988465716662843;-0.9968780416690788;-0.9295648272768058;-0.4820189850310341;-0.858571428571433;-0.9881329549456015;-0.9964465583689506;-0.8918235735968534;-0.2789690150922135;-0.7642857142857149;-0.20530619521408427;-0.9557910011092539;-0.970089914679295;-0.9999691002451178;-1.0
6240;5a2b02b7b07e944d86d41969;1;1.0;-0.9715194139731048;-0.9980467074959513;-0.22330097087378645;0.24951076320939344;0.1269102151555305;-0.9886987770004829;-0.9966083463461439;-0.9259757738896367;-0.5019167579408551;-0.9022222222222327;-0.9883552069860336;-0.9962561653939394;-0.8697466823311226;-0.2833322169621643;-0.804008422597556;-0.19308754219339366;-0.9938157465777697;-0.9690065492307095;-0.9999958286238749;-1.0
6241;5a2b02b7b07e944d86d41969;1;1.0;-0.9714082134498353;-0.9979559275603239;-0.22246581062741413;0.25171232876712335;0.12677140513597088;-0.9890300566523473;-0.996625389637735;-0.9035441902198291;-0.5015516611902161;-0.9493650793650968;-0.9886797519779232;-0.9962669159540634;-0.8430849115107302;-0.28218944762104736;-0.8589599693369538;-0.19308754219339366;-0.9993699438078633;-0.944276802036956;-0.9999997636229779;-1.0
6242;5a2b02b7b07e944d86d41969;1;1.0;-0.9713173572270376;-0.9979777140990091;-0.2207954901346696;0.2524461839530333;0.1264937850968516;-0.9895277662867622;-0.9967145657446674;-0.858681022880215;-0.49936108068638246;-0.9493650793650487;-0.9890470960362594;-0.9962918968734672;-0.777892605382384;-0.2807506239719224;-0.8589599693369493;-0.19308754219339366;-0.9540033488191477;-0.8605791582760501;-0.9999931029953452;-1.0
6243;5a2b02b7b07e944d86d41969;1;1.0;-0.9712153424596174;-0.9979921708522961;-0.218916379580332;0.2627201565557732;0.126354975077292;-0.9900014259361379;-0.9967167637486236;-0.8129205921938086;-0.46577217962760215;-0.9022222222221871;-0.9894094307645325;-0.9962891346432431;-0.730687287869605;-0.21570617975630027;-0.8040084225975497;-0.16657608125415338;-0.8444172893073122;-0.8094849202081865;-0.9999829276233865;-1.0
